trip_id,duration,start_time,end_time,start_station,start_lat,start_lon,end_station,end_lat,end_lon,bike_id,plan_duration,trip_route_category,passholder_type,bike_type
140291693,8,4/1/2020 12:10,4/1/2020 12:18,3007,34.05048,-118.254593,3040,34.05357,-118.26635700000001,16724,30,One Way,Monthly Pass,electric
140292107,25,4/1/2020 12:13,4/1/2020 12:38,4266,34.026291,-118.27768700000001,4404,34.04813,-118.271027,16799,30,One Way,Monthly Pass,electric
140292002,17,4/1/2020 12:13,4/1/2020 12:30,3056,34.037459999999996,-118.265381,4491,34.04744,-118.24793999999999,6258,30,One Way,Monthly Pass,standard
140291898,12,4/1/2020 12:14,4/1/2020 12:26,3035,34.048401,-118.260948,3033,34.040989,-118.255798,19279,30,One Way,Monthly Pass,electric
140346481,622,4/1/2020 12:15,4/1/2020 22:37,4220,34.074829,-118.258728,4220,34.074829,-118.258728,5733,1,Round Trip,Walk-up,standard
140292209,29,4/1/2020 12:16,4/1/2020 12:45,4220,34.074829,-118.258728,4220,34.074829,-118.258728,5949,1,Round Trip,Walk-up,standard
140346478,1440,4/1/2020 12:17,4/2/2020 14:28,4455,34.109359999999995,-118.27181200000001,4455,34.109359999999995,-118.27181200000001,18926,365,Round Trip,Annual Pass,electric
140291796,7,4/1/2020 12:17,4/1/2020 12:24,3030,34.051941,-118.24353,3065,34.060558,-118.238327,20150,30,One Way,Monthly Pass,standard
140292207,25,4/1/2020 12:17,4/1/2020 12:42,3049,34.056969,-118.253593,4491,34.04744,-118.24793999999999,17546,30,One Way,Monthly Pass,electric
140291794,5,4/1/2020 12:18,4/1/2020 12:23,4267,34.027618,-118.28067800000001,4273,34.025859999999994,-118.284103,5890,30,One Way,Monthly Pass,standard
140292204,25,4/1/2020 12:20,4/1/2020 12:45,4304,34.06258,-118.29009199999999,4304,34.06258,-118.29009199999999,18833,30,Round Trip,Monthly Pass,electric
140291997,14,4/1/2020 12:20,4/1/2020 12:34,3075,34.04211,-118.25618700000001,3031,34.044701,-118.25244099999999,6685,30,One Way,Monthly Pass,standard
140292201,18,4/1/2020 12:24,4/1/2020 12:42,3006,34.04554,-118.25666799999999,3005,34.0485,-118.25853700000002,20049,30,One Way,Monthly Pass,standard
140292099,11,4/1/2020 12:26,4/1/2020 12:37,3040,34.05357,-118.26635700000001,3006,34.04554,-118.25666799999999,16724,30,One Way,Monthly Pass,electric
140291995,7,4/1/2020 12:26,4/1/2020 12:33,3033,34.040989,-118.255798,3005,34.0485,-118.25853700000002,19279,30,One Way,Monthly Pass,electric
140292096,6,4/1/2020 12:31,4/1/2020 12:37,3032,34.049889,-118.255882,3034,34.042061,-118.26338200000001,6189,30,One Way,Monthly Pass,standard
140346460,337,4/1/2020 12:33,4/1/2020 18:10,4379,34.017368,-118.420601,4338,34.01376,-118.417801,15678,30,One Way,Monthly Pass,smart
140292094,3,4/1/2020 12:33,4/1/2020 12:36,4475,34.045181,-118.243248,3029,34.048851,-118.246422,19544,30,One Way,Monthly Pass,electric
140293861,77,4/1/2020 12:35,4/1/2020 13:52,4385,34.036678,-118.425339,4382,34.030471999999996,-118.42098200000001,15958,30,One Way,Monthly Pass,smart
140292296,10,4/1/2020 12:37,4/1/2020 12:47,4491,34.04744,-118.24793999999999,3005,34.0485,-118.25853700000002,6258,30,One Way,Monthly Pass,standard
140292093,2,4/1/2020 12:37,4/1/2020 12:39,3007,34.05048,-118.254593,3007,34.05048,-118.254593,12432,1,Round Trip,One Day Pass,standard
140293125,38,4/1/2020 12:39,4/1/2020 13:17,4404,34.04813,-118.271027,3035,34.048401,-118.260948,16799,30,One Way,Monthly Pass,electric
140292294,7,4/1/2020 12:39,4/1/2020 12:46,3006,34.04554,-118.25666799999999,3074,34.04417,-118.261169,16724,30,One Way,Monthly Pass,electric
140292293,6,4/1/2020 12:41,4/1/2020 12:47,3007,34.05048,-118.254593,3049,34.056969,-118.253593,6022,1,One Way,One Day Pass,standard
140292395,11,4/1/2020 12:41,4/1/2020 12:52,3076,34.0406,-118.25383799999999,3076,34.0406,-118.25383799999999,20068,30,Round Trip,Monthly Pass,standard
140292903,24,4/1/2020 12:43,4/1/2020 13:06,4491,34.04744,-118.24793999999999,3062,34.047748999999996,-118.243172,17546,30,One Way,Monthly Pass,electric
140292394,8,4/1/2020 12:44,4/1/2020 12:52,3005,34.0485,-118.25853700000002,3051,34.045421999999995,-118.25351699999999,19279,30,One Way,Monthly Pass,electric
140293007,27,4/1/2020 12:45,4/1/2020 13:12,4304,34.06258,-118.29009199999999,4304,34.06258,-118.29009199999999,18833,30,Round Trip,Monthly Pass,electric
140292393,7,4/1/2020 12:47,4/1/2020 12:54,3065,34.060558,-118.238327,3030,34.051941,-118.24353,20150,30,One Way,Monthly Pass,standard
140292900,17,4/1/2020 12:48,4/1/2020 13:05,4491,34.04744,-118.24793999999999,3005,34.0485,-118.25853700000002,20178,30,One Way,Monthly Pass,standard
140292899,17,4/1/2020 12:48,4/1/2020 13:05,4491,34.04744,-118.24793999999999,3005,34.0485,-118.25853700000002,6635,30,One Way,Monthly Pass,standard
140293115,26,4/1/2020 12:49,4/1/2020 13:15,4301,34.099049,-118.291496,4482,34.094372,-118.33100900000001,19507,30,One Way,Monthly Pass,electric
140293003,22,4/1/2020 12:50,4/1/2020 13:12,3005,34.0485,-118.25853700000002,4314,34.057709,-118.279762,20049,30,One Way,Monthly Pass,standard
140292493,8,4/1/2020 12:52,4/1/2020 13:00,4304,34.06258,-118.29009199999999,4410,34.063351000000004,-118.296799,12425,30,One Way,Monthly Pass,standard
